Description	CancerType	ClassType	Iteration	Algorithm	DefaultParameters	AUROC
Covariate_Alone	TCGA_BLCA	Prognostic__overall_survival	1	random_forest	1	0.612847222222222
Covariate_Alone	TCGA_BLCA	Prognostic__overall_survival	1	svm	1	0.451388888888889
Covariate_Alone	TCGA_BLCA	Prognostic__overall_survival	1	gradient_boosting	1	0.538194444444445
Covariate_Alone	TCGA_BLCA	Prognostic__overall_survival	1	knn	1	0.552083333333333
Covariate_Alone	TCGA_BLCA	Prognostic__overall_survival	2	random_forest	1	0.586805555555556
Covariate_Alone	TCGA_BLCA	Prognostic__overall_survival	2	svm	1	0.46875
Covariate_Alone	TCGA_BLCA	Prognostic__overall_survival	2	gradient_boosting	1	0.517361111111111
Covariate_Alone	TCGA_BLCA	Prognostic__overall_survival	2	knn	1	0.552083333333333
Covariate_Alone	TCGA_COAD	Prognostic__overall_survival	1	random_forest	1	0.604166666666667
Covariate_Alone	TCGA_COAD	Prognostic__overall_survival	1	svm	1	0.208333333333333
Covariate_Alone	TCGA_COAD	Prognostic__overall_survival	1	gradient_boosting	1	0.604166666666667
Covariate_Alone	TCGA_COAD	Prognostic__overall_survival	1	knn	1	0.395833333333333
Covariate_Alone	TCGA_COAD	Prognostic__overall_survival	2	random_forest	1	0.854166666666667
Covariate_Alone	TCGA_COAD	Prognostic__overall_survival	2	svm	1	0.302083333333333
Covariate_Alone	TCGA_COAD	Prognostic__overall_survival	2	gradient_boosting	1	0.760416666666667
Covariate_Alone	TCGA_COAD	Prognostic__overall_survival	2	knn	1	0.9375
Covariate_Alone	TCGA_KIRC	Prognostic__overall_survival	1	random_forest	1	0.751488095238095
Covariate_Alone	TCGA_KIRC	Prognostic__overall_survival	1	svm	1	0.883928571428571
Covariate_Alone	TCGA_KIRC	Prognostic__overall_survival	1	gradient_boosting	1	0.71875
Covariate_Alone	TCGA_KIRC	Prognostic__overall_survival	1	knn	1	0.65327380952381
Covariate_Alone	TCGA_KIRC	Prognostic__overall_survival	2	random_forest	1	0.626488095238095
Covariate_Alone	TCGA_KIRC	Prognostic__overall_survival	2	svm	1	0.681547619047619
Covariate_Alone	TCGA_KIRC	Prognostic__overall_survival	2	gradient_boosting	1	0.59077380952381
Covariate_Alone	TCGA_KIRC	Prognostic__overall_survival	2	knn	1	0.629464285714286
Covariate_Alone	TCGA_LUAD	Prognostic__overall_survival	1	random_forest	1	0.555882352941176
Covariate_Alone	TCGA_LUAD	Prognostic__overall_survival	1	svm	1	0.576470588235294
Covariate_Alone	TCGA_LUAD	Prognostic__overall_survival	1	gradient_boosting	1	0.517647058823529
Covariate_Alone	TCGA_LUAD	Prognostic__overall_survival	1	knn	1	0.561764705882353
Covariate_Alone	TCGA_LUAD	Prognostic__overall_survival	2	random_forest	1	0.523529411764706
Covariate_Alone	TCGA_LUAD	Prognostic__overall_survival	2	svm	1	0.558823529411765
Covariate_Alone	TCGA_LUAD	Prognostic__overall_survival	2	gradient_boosting	1	0.494117647058824
Covariate_Alone	TCGA_LUAD	Prognostic__overall_survival	2	knn	1	0.502941176470588

