Description	CancerType	ClassType	Iteration	Algorithm	DefaultParameters	AUROC
Covariate_and_Expression	TCGA_BLCA	Prognostic__overall_survival	1	gradient_boosting	1	0.654513888888889
Covariate_and_Expression	TCGA_BLCA	Prognostic__overall_survival	1	svm	1	0.65625
Covariate_and_Expression	TCGA_BLCA	Prognostic__overall_survival	1	knn	1	0.704861111111111
Covariate_and_Expression	TCGA_BLCA	Prognostic__overall_survival	1	random_forest	1	0.513888888888889
Covariate_and_Expression	TCGA_BLCA	Prognostic__overall_survival	2	gradient_boosting	1	0.482638888888889
Covariate_and_Expression	TCGA_BLCA	Prognostic__overall_survival	2	svm	1	0.517361111111111
Covariate_and_Expression	TCGA_BLCA	Prognostic__overall_survival	2	knn	1	0.548611111111111
Covariate_and_Expression	TCGA_BLCA	Prognostic__overall_survival	2	random_forest	1	0.484375
Covariate_and_Expression	TCGA_COAD	Prognostic__overall_survival	1	gradient_boosting	1	0.572916666666667
Covariate_and_Expression	TCGA_COAD	Prognostic__overall_survival	1	svm	1	0.645833333333333
Covariate_and_Expression	TCGA_COAD	Prognostic__overall_survival	1	knn	1	0.666666666666667
Covariate_and_Expression	TCGA_COAD	Prognostic__overall_survival	1	random_forest	1	0.708333333333333
Covariate_and_Expression	TCGA_COAD	Prognostic__overall_survival	2	gradient_boosting	1	0.645833333333333
Covariate_and_Expression	TCGA_COAD	Prognostic__overall_survival	2	svm	1	0.729166666666667
Covariate_and_Expression	TCGA_COAD	Prognostic__overall_survival	2	knn	1	0.666666666666667
Covariate_and_Expression	TCGA_COAD	Prognostic__overall_survival	2	random_forest	1	0.75
Covariate_and_Expression	TCGA_KIRC	Prognostic__overall_survival	1	gradient_boosting	1	0.5625
Covariate_and_Expression	TCGA_KIRC	Prognostic__overall_survival	1	svm	1	0.595238095238095
Covariate_and_Expression	TCGA_KIRC	Prognostic__overall_survival	1	knn	1	0.65327380952381
Covariate_and_Expression	TCGA_KIRC	Prognostic__overall_survival	1	random_forest	1	0.68452380952381
Covariate_and_Expression	TCGA_KIRC	Prognostic__overall_survival	2	gradient_boosting	1	0.617559523809524
Covariate_and_Expression	TCGA_KIRC	Prognostic__overall_survival	2	svm	1	0.741071428571429
Covariate_and_Expression	TCGA_KIRC	Prognostic__overall_survival	2	knn	1	0.543154761904762
Covariate_and_Expression	TCGA_KIRC	Prognostic__overall_survival	2	random_forest	1	0.727678571428572
Covariate_and_Expression	TCGA_LUAD	Prognostic__overall_survival	1	gradient_boosting	1	0.447058823529412
Covariate_and_Expression	TCGA_LUAD	Prognostic__overall_survival	1	svm	1	0.305882352941176
Covariate_and_Expression	TCGA_LUAD	Prognostic__overall_survival	1	knn	1	0.652941176470588
Covariate_and_Expression	TCGA_LUAD	Prognostic__overall_survival	1	random_forest	1	0.488235294117647
Covariate_and_Expression	TCGA_LUAD	Prognostic__overall_survival	2	gradient_boosting	1	0.526470588235294
Covariate_and_Expression	TCGA_LUAD	Prognostic__overall_survival	2	svm	1	0.329411764705882
Covariate_and_Expression	TCGA_LUAD	Prognostic__overall_survival	2	knn	1	0.544117647058824
Covariate_and_Expression	TCGA_LUAD	Prognostic__overall_survival	2	random_forest	1	0.541176470588235

