Description	CancerType	ClassType	Iteration	Algorithm	DefaultParameters	AUROC
Expression_Alone	TCGA_BLCA	Prognostic__overall_survival	1	gradient_boosting	1	0.603988603988604
Expression_Alone	TCGA_BLCA	Prognostic__overall_survival	1	svm	1	0.339031339031339
Expression_Alone	TCGA_BLCA	Prognostic__overall_survival	1	random_forest	1	0.547720797720798
Expression_Alone	TCGA_BLCA	Prognostic__overall_survival	1	knn	1	0.582621082621083
Expression_Alone	TCGA_BLCA	Prognostic__overall_survival	2	gradient_boosting	1	0.65954415954416
Expression_Alone	TCGA_BLCA	Prognostic__overall_survival	2	svm	1	0.655270655270655
Expression_Alone	TCGA_BLCA	Prognostic__overall_survival	2	random_forest	1	0.655982905982906
Expression_Alone	TCGA_BLCA	Prognostic__overall_survival	2	knn	1	0.66025641025641
Expression_Alone	TCGA_COAD	Prognostic__overall_survival	1	gradient_boosting	1	0.428571428571429
Expression_Alone	TCGA_COAD	Prognostic__overall_survival	1	svm	1	0.452380952380952
Expression_Alone	TCGA_COAD	Prognostic__overall_survival	1	random_forest	1	0.542517006802721
Expression_Alone	TCGA_COAD	Prognostic__overall_survival	1	knn	1	0.464285714285714
Expression_Alone	TCGA_COAD	Prognostic__overall_survival	2	gradient_boosting	1	0.380952380952381
Expression_Alone	TCGA_COAD	Prognostic__overall_survival	2	svm	1	0.391156462585034
Expression_Alone	TCGA_COAD	Prognostic__overall_survival	2	random_forest	1	0.613945578231292
Expression_Alone	TCGA_COAD	Prognostic__overall_survival	2	knn	1	0.464285714285714
Expression_Alone	TCGA_KIRC	Prognostic__overall_survival	1	gradient_boosting	1	0.695578231292517
Expression_Alone	TCGA_KIRC	Prognostic__overall_survival	1	svm	1	0.695011337868481
Expression_Alone	TCGA_KIRC	Prognostic__overall_survival	1	random_forest	1	0.70890022675737
Expression_Alone	TCGA_KIRC	Prognostic__overall_survival	1	knn	1	0.523809523809524
Expression_Alone	TCGA_KIRC	Prognostic__overall_survival	2	gradient_boosting	1	0.651927437641723
Expression_Alone	TCGA_KIRC	Prognostic__overall_survival	2	svm	1	0.687074829931973
Expression_Alone	TCGA_KIRC	Prognostic__overall_survival	2	random_forest	1	0.654478458049887
Expression_Alone	TCGA_KIRC	Prognostic__overall_survival	2	knn	1	0.535714285714286
Expression_Alone	TCGA_LUAD	Prognostic__overall_survival	1	gradient_boosting	1	0.54421768707483
Expression_Alone	TCGA_LUAD	Prognostic__overall_survival	1	svm	1	0.646258503401361
Expression_Alone	TCGA_LUAD	Prognostic__overall_survival	1	random_forest	1	0.686394557823129
Expression_Alone	TCGA_LUAD	Prognostic__overall_survival	1	knn	1	0.514285714285714
Expression_Alone	TCGA_LUAD	Prognostic__overall_survival	2	gradient_boosting	1	0.684353741496599
Expression_Alone	TCGA_LUAD	Prognostic__overall_survival	2	svm	1	0.666666666666667
Expression_Alone	TCGA_LUAD	Prognostic__overall_survival	2	random_forest	1	0.620408163265306
Expression_Alone	TCGA_LUAD	Prognostic__overall_survival	2	knn	1	0.614285714285714

