Description	Iteration	Algorithm	Metric	Value
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	AUROC	0.750925925925926
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Accuracy	0.72972972972973
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	BalancedAccuracy	0.5
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Brier	0.193874361195619
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	F1	0.84375
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FDR	0.27027027027027
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FNR	0
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FPR	1
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	MCC	0
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	MMCE	0.27027027027027
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	NPV	NA
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	PPV	0.72972972972973
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Recall	1
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	TNR	0
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	TPR	1
