Description	Iteration	Algorithm	Metric	Value
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	AUROC	0.714814814814815
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Accuracy	0.689189189189189
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	BalancedAccuracy	0.503703703703704
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Brier	0.20196858294023
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	F1	0.809917355371901
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FDR	0.26865671641791
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FNR	0.0925925925925926
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FPR	0.9
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MCC	0.0112406567939038
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MMCE	0.310810810810811
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	NPV	0.285714285714286
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	PPV	0.73134328358209
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Recall	0.907407407407407
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TNR	0.1
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TPR	0.907407407407407
