Description	Iteration	Algorithm	Metric	Value
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	AUROC	0.55462962962963
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Accuracy	0.648648648648649
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	BalancedAccuracy	0.55462962962963
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Brier	0.351351351351351
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	F1	0.759259259259259
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FDR	0.240740740740741
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FNR	0.240740740740741
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FPR	0.65
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MCC	0.109259259259259
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MMCE	0.351351351351351
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	NPV	0.35
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	PPV	0.759259259259259
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Recall	0.759259259259259
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TNR	0.35
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TPR	0.759259259259259
