Description	Iteration	Algorithm	Metric	Value
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	AUROC	0.638621794871795
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Accuracy	0.620689655172414
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	BalancedAccuracy	0.612980769230769
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Brier	0.236968162660746
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	F1	0.666666666666667
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FDR	0.352941176470588
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FNR	0.3125
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FPR	0.461538461538462
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MCC	0.228166093480556
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MMCE	0.379310344827586
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	NPV	0.583333333333333
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	PPV	0.647058823529412
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Recall	0.6875
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TNR	0.538461538461538
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TPR	0.6875
