Description	Iteration	Algorithm	Metric	Value
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	AUROC	0.502941176470588
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Accuracy	0.555555555555556
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	BalancedAccuracy	0.502941176470588
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Brier	0.444444444444444
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	F1	0.666666666666667
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FDR	0.368421052631579
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FNR	0.294117647058824
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FPR	0.7
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MCC	0.00622090752241799
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MMCE	0.444444444444444
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	NPV	0.375
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	PPV	0.631578947368421
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Recall	0.705882352941177
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TNR	0.3
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TPR	0.705882352941177
