Description	Iteration	Algorithm	Metric	Value
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	AUROC	0.9
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Accuracy	0.891304347826087
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	BalancedAccuracy	0.827705627705628
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Brier	0.094014987411679
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	F1	0.934210526315789
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FDR	0.0533333333333333
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FNR	0.0779220779220779
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FPR	0.266666666666667
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MCC	0.623806355289103
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MMCE	0.108695652173913
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	NPV	0.647058823529412
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	PPV	0.946666666666667
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Recall	0.922077922077922
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TNR	0.733333333333333
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TPR	0.922077922077922
