Description	Iteration	Algorithm	Metric	Value
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	AUROC	0.739393939393939
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Accuracy	0.83695652173913
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	BalancedAccuracy	0.553679653679654
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Brier	0.128810428566935
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	F1	0.909090909090909
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FDR	0.147727272727273
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FNR	0.025974025974026
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FPR	0.866666666666667
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	MCC	0.194473021269209
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	MMCE	0.16304347826087
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	NPV	0.5
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	PPV	0.852272727272727
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Recall	0.974025974025974
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	TNR	0.133333333333333
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	TPR	0.974025974025974
