Description	Iteration	Algorithm	Metric	Value
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	AUROC	0.704861111111111
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Accuracy	0.705882352941177
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	BalancedAccuracy	0.704861111111111
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Brier	0.294117647058824
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	F1	0.722222222222222
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FDR	0.277777777777778
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FNR	0.277777777777778
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FPR	0.3125
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MCC	0.409722222222222
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MMCE	0.294117647058824
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	NPV	0.6875
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	PPV	0.722222222222222
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Recall	0.722222222222222
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TNR	0.6875
TCGA_BLCA___Prognostic__overall_survival___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TPR	0.722222222222222
