Description	Iteration	Algorithm	Metric	Value
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	AUROC	0.484375
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	Accuracy	0.441176470588235
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	BalancedAccuracy	0.430555555555556
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	Brier	0.267823529411765
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	F1	0.536585365853659
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	FDR	0.521739130434783
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	FNR	0.388888888888889
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	FPR	0.75
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	MCC	-0.148184741491462
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	MMCE	0.558823529411765
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	NPV	0.363636363636364
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	PPV	0.478260869565217
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	Recall	0.611111111111111
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	TNR	0.25
TCGA_BLCA___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	TPR	0.611111111111111
