Description	Iteration	Algorithm	Metric	Value
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	AUROC	0.727678571428572
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	Accuracy	0.702702702702703
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	BalancedAccuracy	0.700892857142857
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	Brier	0.206616216216216
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	F1	0.666666666666667
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	FDR	0.352941176470588
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	FNR	0.3125
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	FPR	0.285714285714286
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	MCC	0.399415276404409
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	MMCE	0.297297297297297
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	NPV	0.75
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	PPV	0.647058823529412
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	Recall	0.6875
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	TNR	0.714285714285714
TCGA_KIRC___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	TPR	0.6875
