Description	Iteration	Algorithm	Metric	Value
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	AUROC	0.526470588235294
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Accuracy	0.481481481481481
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	BalancedAccuracy	0.444117647058824
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Brier	0.466381433760428
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	F1	0.588235294117647
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FDR	0.411764705882353
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FNR	0.411764705882353
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FPR	0.7
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MCC	-0.111764705882353
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MMCE	0.518518518518518
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	NPV	0.3
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	PPV	0.588235294117647
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Recall	0.588235294117647
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TNR	0.3
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TPR	0.588235294117647
