Description	Iteration	Algorithm	Metric	Value
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	AUROC	0.542897327707454
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Accuracy	0.707547169811321
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	BalancedAccuracy	0.486872948898265
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Brier	0.224858046912223
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	F1	0.826815642458101
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FDR	0.26
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FNR	0.0632911392405063
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	FPR	0.962962962962963
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MCC	-0.0495013421264899
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	MMCE	0.292452830188679
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	NPV	0.166666666666667
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	PPV	0.74
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	Recall	0.936708860759494
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TNR	0.037037037037037
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/gradient_boosting/default__criterion=friedman_mse_n_estimators=50	TPR	0.936708860759494
