Description	Iteration	Algorithm	Metric	Value
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	AUROC	0.516174402250352
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Accuracy	0.660377358490566
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	BalancedAccuracy	0.516174402250352
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Brier	0.339622641509434
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	F1	0.780487804878049
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FDR	0.247058823529412
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FNR	0.189873417721519
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FPR	0.777777777777778
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MCC	0.0353618154101683
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MMCE	0.339622641509434
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	NPV	0.285714285714286
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	PPV	0.752941176470588
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Recall	0.810126582278481
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TNR	0.222222222222222
TCGA_BLCA___Prognostic__incidental_prostate_cancer_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TPR	0.810126582278481
