Description	Iteration	Algorithm	Metric	Value
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	AUROC	0.566884373488147
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Accuracy	0.603053435114504
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	BalancedAccuracy	0.566884373488147
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Brier	0.396946564885496
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	F1	0.694117647058824
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FDR	0.358695652173913
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FNR	0.243589743589744
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FPR	0.622641509433962
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MCC	0.143586522649556
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MMCE	0.396946564885496
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	NPV	0.512820512820513
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	PPV	0.641304347826087
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Recall	0.756410256410256
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TNR	0.377358490566038
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TPR	0.756410256410256
