Description	Iteration	Algorithm	Metric	Value
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	AUROC	0.661828737300435
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	Accuracy	0.648854961832061
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	BalancedAccuracy	0.614417029511369
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	Brier	0.227893129770992
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	F1	0.729411764705882
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	FDR	0.326086956521739
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	FNR	0.205128205128205
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	FPR	0.566037735849057
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	MCC	0.24562902427935
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	MMCE	0.351145038167939
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	NPV	0.58974358974359
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	PPV	0.673913043478261
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	Recall	0.794871794871795
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	TNR	0.433962264150943
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/random_forest/default__bootstrap=True_class_weight=None_criterion=gini_n_estimators=50_oob_score=False	TPR	0.794871794871795
