Description	Iteration	Algorithm	Metric	Value
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	AUROC	0.655781325592646
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Accuracy	0.625954198473282
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	BalancedAccuracy	0.583091436865022
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Brier	0.23240241827107
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	F1	0.72
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FDR	0.350515463917526
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FNR	0.192307692307692
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FPR	0.641509433962264
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	MCC	0.186057069054037
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	MMCE	0.374045801526718
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	NPV	0.558823529411765
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	PPV	0.649484536082474
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Recall	0.807692307692308
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	TNR	0.358490566037736
TCGA_COAD___Prognostic__lymphovascular_invasion_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	TPR	0.807692307692308
