Description	Iteration	Algorithm	Metric	Value
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	AUROC	0.614285714285714
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Accuracy	0.625
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	BalancedAccuracy	0.614285714285714
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Brier	0.375
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	F1	0.686567164179104
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FDR	0.28125
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FNR	0.342857142857143
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FPR	0.428571428571429
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MCC	0.223606797749979
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MMCE	0.375
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	NPV	0.5
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	PPV	0.71875
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Recall	0.657142857142857
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TNR	0.571428571428571
TCGA_LUAD___Prognostic__overall_survival___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TPR	0.657142857142857
