Description	Iteration	Algorithm	Metric	Value
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	AUROC	0.748245614035088
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Accuracy	0.863309352517986
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	BalancedAccuracy	0.5
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Brier	0.109053683767869
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	F1	0.926640926640927
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FDR	0.136690647482014
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FNR	0
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	FPR	1
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	MCC	0
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	MMCE	0.136690647482014
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	NPV	NA
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	PPV	0.863309352517986
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	Recall	1
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	TNR	0
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration1	1	AlgorithmScripts/Classification/tsv/sklearn/svm/default__C=1.0_class_weight=None_kernel=rbf	TPR	1
