Description	Iteration	Algorithm	Metric	Value
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	AUROC	0.480482456140351
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Accuracy	0.79136690647482
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	BalancedAccuracy	0.480482456140351
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Brier	0.20863309352518
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	F1	0.882591093117409
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FDR	0.141732283464567
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FNR	0.0916666666666667
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	FPR	0.947368421052632
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MCC	-0.0477452420780084
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	MMCE	0.20863309352518
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	NPV	0.0833333333333333
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	PPV	0.858267716535433
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	Recall	0.908333333333333
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TNR	0.0526315789473684
TCGA_PRAD___Prognostic__biochemical_recurrence_indicator___iteration2	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default__n_neighbors=1_p=1_weights=uniform	TPR	0.908333333333333
